feature,qc_mean_intensity,qc_cv_pct,qc_detection_rate,qc_order_spearman_rho,qc_order_spearman_abs,mz,rt,qc_log_sd,Dunn_mean_intensity,Dunn_std_intensity,Dunn_cv_pct,Dunn_log_sd,Dunn_detection_rate,French_mean_intensity,French_std_intensity,French_cv_pct,French_log_sd,French_detection_rate,LMU_mean_intensity,LMU_std_intensity,LMU_cv_pct,LMU_log_sd,LMU_detection_rate,bio_cv_pct_median,bio_cv_pct_max,bio_log_sd_median,bio_detection_rate_median,bio_detection_rate_min,d_ratio_cv,d_ratio_log,passes_qc_cv_30,passes_detection_70,passes_mz_500,passes_basic_part_b_screen
FT-118,1217.939932694575,30.7738504167476,1.0,0.055882352941176466,0.055882352941176466,1560.0017940800249,1455.4088624671206,0.4325264143477304,1292.2545308712038,338.413582749751,26.187842616547186,1.270994231237462,1.0,1013.2064770747943,191.80220640439353,18.930219135406773,0.22021818930013437,1.0,1146.353212746046,487.50604119568527,42.52668686886504,1.6715166888068533,0.9615384615384616,26.187842616547186,42.52668686886504,1.270994231237462,1.0,0.9615384615384616,1.1751197251087295,0.34030556844197096,False,True,True,False
FT-188,78.81477712077168,30.27334169203846,1.0,0.24705882352941175,0.24705882352941175,931.123316275561,1102.1879690833632,0.31322687399231885,153.37385402380642,282.51253530013986,184.19862831137357,0.5913674936175541,1.0,360.94833375547785,635.3992200826013,176.03605853270082,1.3522059763956265,1.0,204.0093915709096,337.47004082368125,165.41887519250966,0.8827058541398851,1.0,176.03605853270082,184.19862831137357,0.8827058541398851,1.0,1.0,0.17197238988633015,0.354848529125854,False,True,True,False
FT-214,724.3151600157938,30.579788345011412,1.0,0.02058823529411765,0.02058823529411765,1560.5106879252833,1455.2785186733047,0.4659854486957829,770.2763041316767,211.18830729050765,27.41721459659566,1.2958554794670059,0.9629629629629629,625.432052420497,112.53195237210288,17.99267433394095,0.20208276234890343,1.0,722.1443282605505,223.43856032728644,30.94098389798189,1.0837240991306485,1.0,27.41721459659566,30.94098389798189,1.0837240991306485,1.0,0.9629629629629629,1.1153499286834354,0.429985315514891,False,True,True,False
FT-217,115.9467520052329,23.936713615607836,1.0,-0.18529411764705883,0.18529411764705883,1089.0287993120237,1473.4388815633502,0.24167745550146247,109.45642950639582,32.71733236158546,29.890735984288348,0.30738318357804045,1.0,112.3975742635556,178.924854739174,159.18924933346145,0.5770913220586236,1.0,163.51959818131456,204.238495617062,124.90153956383706,0.5285792074738542,1.0,124.90153956383706,159.18924933346145,0.5285792074738542,1.0,1.0,0.19164466426271554,0.4572208896684928,True,True,True,True
FT-180,403.61540056181417,48.3735316797716,1.0,0.33529411764705885,0.33529411764705885,1846.2712907601397,1057.5333992700469,0.8311233392873925,541.1360002197615,208.4844479998867,38.52718132137185,1.3972245904577836,0.9629629629629629,469.5664600900673,160.25244648344443,34.127745506505406,0.5632506887768665,1.0,328.003821176026,174.57622338691735,53.22383829584398,1.976783806256575,0.8846153846153846,38.52718132137185,53.22383829584398,1.3972245904577836,0.9629629629629629,0.8846153846153846,1.2555689261632481,0.5948387574649577,False,True,True,False
FT-247,1464.0742295842274,37.88716325114578,1.0,-0.2588235294117647,0.2588235294117647,1210.8237284316058,886.0371926968076,0.6083241816362294,926.0913413492736,230.99896245723627,24.943431834777886,0.22703656666750047,1.0,1413.3958274736344,649.3548521107283,45.94288729940668,0.9539903168187249,1.0,1447.5872323859533,623.8616948798812,43.09665634806789,1.0807708397543059,1.0,43.09665634806789,45.94288729940668,0.9539903168187249,1.0,1.0,0.8791207128727595,0.6376628472129678,False,True,True,False
FT-097,7306.008277116773,53.89307988529957,1.0,-0.10882352941176471,0.10882352941176471,1221.7827177901245,1303.3882126599997,0.7053675519523451,5826.099806502013,5134.451275998376,88.12844692890864,1.0357048189203664,1.0,6642.741861058269,4895.02414224133,73.68981430600847,1.001555277765536,1.0,5656.255007106838,5465.508021017859,96.62768057930002,1.0734330907254437,1.0,88.12844692890864,96.62768057930002,1.0357048189203664,1.0,1.0,0.6115287601604279,0.6810507579636739,False,True,True,False
FT-168,4360.541664934453,14.218346914517126,1.0,-0.15882352941176472,0.15882352941176472,1336.3262451050714,1551.2877356272045,0.14477929891768765,4228.6050966851,811.5313554095404,19.191467087946293,0.2069617323617849,1.0,4544.164145292001,573.1416536814055,12.612696974760718,0.12384637248116254,1.0,4226.153285283751,1065.088414705093,25.20231384919067,0.5655774027785154,1.0,19.191467087946293,25.20231384919067,0.2069617323617849,1.0,1.0,0.7408681602798013,0.6995462265681194,True,True,True,True
FT-094,6472.473961961428,53.87209222495883,1.0,-0.07941176470588236,0.07941176470588236,1221.278586377492,1303.4817365710865,0.7311301307082522,5146.338998576546,4570.016504811671,88.80131110826001,1.0409138127044353,1.0,5910.014270638975,4413.152552482888,74.67245171314534,1.0204940031670828,1.0,5054.140190482073,4953.36923224491,98.006170101357,1.1139228632793146,1.0,88.80131110826001,98.006170101357,1.0409138127044353,1.0,1.0,0.6066587480817929,0.7023925725499568,False,True,True,False
FT-147,1243.2840083105589,32.20464839346363,1.0,-0.13529411764705881,0.13529411764705881,1633.0436758967032,1455.2477318872882,0.9436086648451454,990.0005908894708,257.4479243142536,26.004825318634232,1.3420136693887885,0.9629629629629629,793.6048250037418,191.82009830698138,24.17073236746979,0.39898801301903003,1.0,1372.7790472837576,557.9960268022321,40.6471841121343,2.3949532848385684,0.8846153846153846,26.004825318634232,40.6471841121343,1.3420136693887885,0.9629629629629629,0.8846153846153846,1.2384104872408737,0.7031289519389962,False,True,True,False
